Year,Month,Day,Date,Carapetyan Address,Carapetyan Country,Sender,Recipient,Substance of Correspondence,Archive,Archival Signature,Notes
1945,11,12,1945-11-12,"Institute of Renaissance and Baroque Music
1430 Massachusetts Avenue, Cambridge",United States,Armen Carapetyan,Otto Kinkeldey,"Carapetyan thanks Kinkeldey for article, but asks to substitute ""musical scholarship"" for ""musicology.""","Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
1946,6,8,1946-6-8,,,Armen Carapetyan,Knud Jeppesen,"Carapetyan sent a copy of the ""Journal of Renaissance and Baroque Music."" He desires a contribution from Jeppesen.",The Royal Danish Library,Knud Jeppesen Papers (Utilg. 635),
1946,7,24,1946-7-24,"El Riego, Tehuacán, Puebla",Mexico,Armen Carapetyan,Otto Kinkeldey,The Harvard University Printing Office has not provided the desired offprints; Carapetyan is sending along an honorarium of two dollars per printed page.,"Cornell University, Division of Rare and Manuscript Collections","Otto Kinkeldey Papers, 1902-1966, Box 2, Folder 5",
1947,10,28,1947-10-28,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Otto Ursprung,"""I am pleased to communicate again with scholars in Germany… the enclosed prospectus, distributed a year ago, will give an idea of the aims of the Institute… some of the publications of the institute have unfortunately been delayed by the difficult and unpredictable circumstances of postwar Europe... the attention of German scholars is drawn to the linguistic usage of Musica Disciplina which confines itself, usually, to English and French.""",Bayerische Staatsbibliothek,"ANA 343 (Otto Ursprung Nachlass), Sch. 1, Carapetyan, Armen",
1947,11,3,1947-11-3,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Walter Gerstenberg,"""The first summer session took place during July and August with very gratifying results, and plans are being made for the session of 1948."" ""Some of the publications of the Institute have been delayed by the difficult and unpredictable circumstances of post war Europe. However within the very near future the first volume of [Guillaume] Dufay, 'Opera Omnia,' as well as several other items will be distributed.""",Private,Private Nachlass Walter Gerstenberg,
1947,12,2,1947-12-2,,,Armen Carapetyan,Knud Jeppesen,"Carapetyan asks to subscribe to ""Acta Musicologica,"" or exchange it with the ""Journal of Renaissance and Baroque Music.""",The Royal Danish Library,Knud Jeppesen Papers (Utilg. 635),
1947,12,18,1947-12-18,"Via Angelo Massina 5, Rome",Italy,Arnold Schmitz,Armen Carapetyan,"""Wie schön und großartig das Musicologische Institut ist, das Ihr Land unter Ihrer Leitung in Rom begründet hat."" Schmitz cannot subscribe to the journal because of ""die Schwierigkeiten der Valuts""; he offers a possibility of an article in French on the passion by Jacob Obrecht or on Italian Figuralpassionen in the sixteenth century.",Universitätsarchiv Mainz,"NL 45 (Nachlass Arnold Schmitz), Box ?, Ordner 1, no. 214a",
1947,12,20,1947-12-20,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Erich H. Mueller von Asow,Carapetyan sends a prospectus for AIM's 1948 Summer Session; he notes that first volume of the Guillaume Du Fay collected-works edition is forthcoming.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1947,12,22,1947-12-22,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Walter Blankenburg,Carapetyan sends a prospectus for AIM's 1948 Summer Session; he notes that first volume of the Guillaume Du Fay collected-works edition is forthcoming.,Universitätsarchiv Augsburg,"NL Walter Blankenburg, Folder 161 (Persönliche Korrespondenz)",
1948,1,3,1948-1-3,"L'Eremo, Capri",Italy,Armen Carapetyan,Otto Gombosi,Carapetyan responds to a request about items from the photographic archives of AIM.,"Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1948,1,19,1948-1-19,,,Knud Jeppesen,Armen Carapetyan,"Jeppesen wants to exchange ""Acta Musicologica"" with Carapetyan for the ""Journal of Renaissance and Baroque Music.""",The Royal Danish Library,Knud Jeppesen Papers (Utilg. 635),
1948,1,22,1948-1-22,"Via Angelo Massina 5, Rome",Italy,Erich H. Mueller von Asow,Armen Carapetyan,Müller von Asow is interested in attending the 1948 Summer Session and in presenting on Heinrich Glarean's letters.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,1,26,1948-1-26,,,Armen Carapetyan,Knud Jeppesen,Carapetyan asks Jeppesen to give one or two summer courses at the 1948 Summer Session.,The Royal Danish Library,Knud Jeppesen Papers (Utilg. 635),
1948,2,2,1948-2-2,,,Knud Jeppesen,Armen Carapetyan,Jeppesen declines Carapetyan's offer to teach at the 1948 Summer Session.,The Royal Danish Library,Knud Jeppesen Papers (Utilg. 635),
1948,2,4,1948-2-4,,,Armen Carapetyan,Edward Lowinsky,Carapetyan will publish Lowinsky's response to Leo Schrade; there is a planned discourse between Laurence Feininger and Guillaume de Van on transcription.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1948,2,7,1948-2-7,,,Otto Ursprung,Armen Carapetyan,"""The plan which is developed [in the enclosed prospectus] is very ample; it shows that the Institute has turned to a period of the development of music rich in problems. I wish the enterprise best success.""",Bayerische Staatsbibliothek,"ANA 343 (Otto Ursprung Nachlass), Sch. 1, Carapetyan, Armen",
1948,2,11,1948-2-11,,,Armen Carapetyan,Knud Jeppesen,Carapetyan is disappointed that Jeppesen cannot join the Summer Session; he asks about joining for 1949; he also asks if Jeppesen will serve on the advisory board.,The Royal Danish Library,Knud Jeppesen Papers (Utilg. 635),
1948,2,16,1948-2-16,,,Armen Carapetyan,Edward Lowinsky,"Lowinsky can either reply to Leo Schrade, or he can have someone else review the book.","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 56, Folder 6",
1948,2,28,1948-2-28,"Via Angelo Massina 5, Rome",Italy,Ralph Kirkpatrick,Armen Carapetyan,"""I shall be quite willing to join the Advisory Board of the Institute.""",Yale University Music Library,"MSS 11 (The Ralph Kirkpatrick Papers), Box 27, Folder 20",
1948,3,10,1948-3-10,"Via Angelo Massina 5 (Porta S. Pancrazio), Rome",Italy,Armen Carapetyan,Egon Wellesz,"Carapetyan invites Egon Wellesz to join the European advisory board, where he would join Jacques Handschin, Charles van den Borren, Yvonne Rokseth, and Knud Jeppesen.","Österreichische Nationalbibliothek, Musiksammlung",F.13.Wellesz.1755,
1948,3,13,1948-3-13,"Via Angelo Massina 5 (Porta S. Pancrazio), Rome",Italy,Armen Carapetyan,Erich H. Mueller von Asow,Carapetyan would be glad to have Müller von Asow at the Summer Session; the topic of Müller von Asow's article seems appropriate for MD.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,3,13,1948-3-13,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Otto Gombosi,Carapetyan sends a prospectus for AIM's 1948 Summer Session.,"Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1948,3,13,1948-3-13,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Otto Ursprung,"""It is with much gratification that I find through the Institute a new link with German musicology and musicologists, to whom we wish a restored era of activity, true to the pure ideals of learning… Musicology has suffered its own share of blows and reverses during the past years. And who can tell what we are to expect now?""","Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,3,31,1948-3-31,"Via Angelo Massina 5, Rome",Italy,Erich H. Mueller von Asow,Armen Carapetyan,"Müller von Asow is not yet sure whether he will be able to attend the Summer Session (he cites specifically the travel from the German border to Rome), but he wants to be there.","Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,4,5,1948-4-5,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Helen Hewitt,Carapetyan asks about the publication of Hewitt's editions of Canti B and C.,University of North Texas,"Helen Hewitt Research Collection, 1925–1978, Box 1, Folder 23",
1948,4,8,1948-4-8,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Otto Gombosi,"AIM's photographic archives were at Guillaume de Van's being catalogued; Carapetyan asks Gombosi if he would like to join the Advisory Board (the European advisory board includes Jacques Handschin, Yvonne Rokseth, Knud Jeppesen, and Charles van den Borren).","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1948,4,16,1948-4-16,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Egon Wellesz,Carapetyan thanks Wellesz for joining the board and notes that a number of publications will be sent to Wellesz in Oxford.,"Österreichische Nationalbibliothek, Musiksammlung",F.13.Wellesz.1755,
1948,4,16,1948-4-16,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Erich H. Mueller von Asow,"Carapetyan could offer a grant for tuition, room, and board, but not expenditures for travel; if otherwise impossible, would have to see what could be done; owing to the ""international situation and difficulties in transatlantic transportation… very few Americans will attend this year, but we have an interesting international group.""","Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,4,16,1948-4-16,"Via Angelo Massina 5, Rome",Italy,Armen Carapetyan,Walter Gerstenberg,"""First of all I wish to say that your offer of publishing [Ludwig] Senfl's works with us has naturally interested me very much. It is clear that the publication of Senfl must be completed as soon as possible. If this is not very readily possible in Germany (as I should not like to be in rivalry with German plans) then surely we should welcome Senfl in our series.""",Private,Private Nachlass Walter Gerstenberg,
1948,4,19,1948-4-19,,,Armen Carapetyan,Knud Jeppesen,"Carapetyan is dissapointed that Jeppesen cannot participate in the 1949 Summer Session (for which the ""two invariables"" are ""de Van and myself.""",The Royal Danish Library,Knud Jeppesen Papers (Utilg. 635),
1948,4,20,1948-4-20,,,Manfred Bukofzer,Armen Carapetyan,Bukofzer thanks Carapetyan for his prospectus for the Summer Session and provides a list of microfilms for a possible exchange.,"University of California, Berkeley, Jean Gray Hargrove Music Library","Archives Bukofzer 1, Box 1, Folder Microfilms (no. 35)",
1948,5,3,1948-5-3,"Via Angelo Massina 5, Rome",Italy,Erich H. Mueller von Asow,Armen Carapetyan,Müller von Asow needs help with travel from German border to Rome; he desires an official invitation; he notes that there is a fragment in a Leipzig private collection that he could share.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,5,4,1948-5-4,"Torre di Bellosguardo, Florence",Italy,Armen Carapetyan,Erich H. Mueller von Asow,Carapetyan sends a letter of invitation for Müller von Asow.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,5,4,1948-5-4,"Torre di Bellosguardo, Florence",Italy,Armen Carapetyan,Erich H. Mueller von Asow,Carapetyan confirms Müller von Asow's participation and notes that Müller von Asow is expected a day or two before the session.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,5,15,1948-5-15,"Torre di Bellosguardo, Florence",Italy,Armen Carapetyan,Erich H. Mueller von Asow,Carapetyan needs to have confirmation from Müller von Asow regarding attendance.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,5,18,1948-5-18,"Via Angelo Massina 5, Rome",Italy,Helen Hewitt,Armen Carapetyan,"The edition of Canti B is ready; that of Canti C is still ""in progress."" ""I fail to see how anyone could be otherwise than happy in a city having the beauty and musicological resources of Paris.""",University of North Texas,"Helen Hewitt Research Collection, 1925–1978, Box 1, Folder 23",
1948,5,24,1948-5-24,"Via Angelo Massina 5, Rome",Italy,Arnold Schmitz,Armen Carapetyan,"Schmitz writes on behalf of Fritz Feldmann, who wants to take part in the summer courses in Rome. Although he was a party member, Feldmann saved the pianist Bronislaw Ritter von Pozniak from the Gestapo. He asks Carapetyan for patience with his MD submission.",Universität Mainz,"NL 45 (Nachlass Arnold Schmitz), Box ?, Ordner 1, no. 217a",
1948,5,26,1948-5-26,"Via Angelo Massina 5, Rome",Italy,Erich H. Mueller von Asow,Armen Carapetyan,Müller von Asow is sending the films by airmail.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,5,28,1948-5-28,"Via Angelo Massina 5, Rome",Italy,Erich H. Mueller von Asow,Armen Carapetyan,Müller von Asow confirms that he will attend the session.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,6,4,1948-6-4,"Torre di Bellosguardo, Florence",Italy,Armen Carapetyan,Erich H. Mueller von Asow,The Summer Session courses will start 5 July; members should arrive on 3 or 4 July; Müller von Asow wants to exchange some films for a care package.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,6,8,1948-6-8,"Torre di Bellosguardo, Florence",Italy,Erich H. Mueller von Asow,Armen Carapetyan,"Müller von Asow notes that he will be staying with Hans Halm in Munich; there are difficulties crossing borders, but anticipates participating in the Summer Session.","Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,6,14,1948-6-14,"Torre di Bellosguardo, Florence",Italy,Erich H. Mueller von Asow,Armen Carapetyan,Müller von Asow notes that he will be staying with Hans Halm in Munich; he anticipates participating in the Summer Session.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,6,14,1948-6-14,"Torre di Bellosguardo, Florence",Italy,Armen Carapetyan,Helen Hewitt,"Carapetyan confirms receipt of Hewitt's letter. ""I too fail to see how you could be otherwise than happy in gay and musicological resplendent Paris.""",University of North Texas,"Helen Hewitt Research Collection, 1925–1978, Box 1, Folder 23",
1948,6,17,1948-6-17,"Torre di Bellosguardo, Florence",Italy,Armen Carapetyan,Erich H. Mueller von Asow,Carapetyan relays the information that there is a second-class ticket awaiting Müller von Asow in Munich (for a flight from Munich to Florence).,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,7,23,1948-7-23,"Torre di Bellosguardo, Florence",Italy,Erich H. Mueller von Asow,Armen Carapetyan,Müller von Asow explains why he was unable to travel to Florence.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,7,24,1948-7-24,"Torre di Bellosguardo, Florence",Italy,Armen Carapetyan,Erich H. Mueller von Asow,The Summer session is now almost half over; Carapetyan regrets that Müller von Asow is not present. He asks von Asow to have Dr. Hans Halm return the ticket to Carapetyan. The prints sent by Müller von Asow not useful.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,9,1,1948-9-1,"Via Angelo Massina 5, Rome",Italy,Erich H. Mueller von Asow,Armen Carapetyan,Müller von Asow notes that Dr. Mosley should have explained why he was unable to come from Munich to Florence; he thanks Carapetyan for the invitation.,"Österreichische Nationalbibliothek, Musiksammlung","Internationales Musiker-Brief-Archiv (IMBA), F50.IMBA.447 MUS MAG",
1948,9,14,1948-9-14,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Percy A. Scholes,"Carapetyan provides date of birth (11 October 1908), a list of where he was educated, his musical background, and offers a clarification about the foundation of the two institutes. He also provided a postcard regarding the Guillaume Du Fay collected-works edition led by Guillaume de Van.",Libraries and Archives Canada,"Percy A. Scholes fonds (R11530-0-1-E), Box 24, Folder Carapetyan, Armen",
1949,1,31,1949-1-31,,,Paul Henry Lang,Otto Gombosi,"""C[arapetyan] himself is OK but completely under the thumb of [Guillaume] de Van, and the latter gent is making himself thoroughly disliked everywhere. Even as gentle a man as [Otto] Kinkeldey is sore about the Institute in Rome that gives the impression of an official American body, and as to de Van, he is persona non grata in several lands.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1949,3,1,1949-3-1,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Gustave Reese,"[Dictated by Carapetyan] Carapetyan wrote to Paul Müller, editor of the Alexander Agricola edition; he will write as soon as Müller responds.","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 2, Folder 18 (Maldeghem and His Buried Treasure)",
1949,4,11,1949-4-11,,,Armen Carapetyan,Knud Jeppesen,Carapetyan asks Jeppesen to teach at the 1950 Summer Session.,The Royal Danish Library,Knud Jeppesen Papers (Utilg. 635),
1949,5,10,1949-5-10,Via San Felice a Ema8 Florence,Italy,Armen Carapetyan,Louise Dyer,"Carapetyan negotiates whether Handschin would review for ""Acta Musicologica"" or MD; he complements Dyer's work ""and I wish it further success - with less [Guillaume] de Vanish episodes!""",University of Melbourne,"Editions de l'Oiseau-Lyre, Box 2016.0034 Unit 1",
1949,5,16,1949-5-16,,,Oliver Strunk,Armen Carapetyan,"""You have, I think, every reason to take great satisfaction in [Musica Disciplina], as also in the first volumes of the new edition of the [Guillaume] Dufay works. I have, however, come to the conclusion that I must ask you to allow me to resign from the Advisory Board of the Institute. Since the transfer of the Institute to Rome, its relation to musical research in this country, always somewhat tenuous, has become still more so. And it would seem to me that the time has come for the Institute to represent itself as what it really is--an independent group of scholars--and to drop even the nominal connection with this country. Aside from this, I think I may say frankly that the manner in which the Dufay edition was launched, without apparent consideration for the years of works that Professor [Heinrich] Besseler in Heidelberg has devoted to a similar project, has been a source of keen embarrassment to me, as I am sure it has been also to many others.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Box 49, Folder 13",
1949,5,16,1949-5-16,,,Armen Carapetyan,Knud Jeppesen,Carapetyan understands that Jeppesen cannot commit to the 1950 Summer Session. He sent a copy of MD to replace a lost volume. At present he is in Florence at San Felice A Ema 8 (Villetta La Verenella); he hopes to see Jeppesen in Basel at the 1949 IMS meeting.,The Royal Danish Library,Knud Jeppesen Papers (Utilg. 635),
1949,5,21,1949-5-21,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Louise Dyer,"Carapetyan asks for permission for his brother Caro to perform the Magnificat by Marc-Antoine Charpentier. ""As I had feared, [Guillaume] de Van did not show up on the 15th. I fear that his is a hopeless case, and that at any rate he is in bad hands, being undermined morally and materially. Alas... I may have to shift the edition of [Guillaume] Dufay to other hands – a thing I am very loathe to do.""",University of Melbourne,"Editions de l'Oiseau-Lyre, Box 2016.0034 Unit 1",
1949,5,31,1949-5-31,"515 San Silvestro, Rome",Italy,Armen Carapetyan,Otto Gombosi,"""[Guillaume] De Van is in a serious predicament and for the moment it seems impossible to deal directly with him.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1949,7,18,1949-7-18,"C.P.515, San Silvestro, Rome",Italy,Armen Carapetyan,Heinrich Besseler,Carapetyan just returned from Guillaume de Van's funeral in Amalfi; he had a conversation at Jacques Handschin's during the 1949 IMS with regard to de Van's health and life; he asks Besseler to take over the Guillaume Du Fay edition.,Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 15,
1949,7,19,1949-7-19,,,Richard S. Hill,Armen Carapetyan,Hill heard from Paul Henry Lang the news about Guillaume de Van. He asks whether he left materials behind for the Guillaume Machaut and Guillaume Du Fay editions. He asks about cause of death and exact date.,"University of Maryland, Special Collections","Music Library Association Archives, Record Group 6, Notes, Box 2-MLA, Carapetyan, Armen",
1949,7,22,1949-7-22,"515 San Silvestro, Rome",Italy,Heinrich Besseler,Armen Carapetyan,Besseler was shook by the death of Guillaume de Van. He is ready to assume editorship of the Guillaume Du Fay edition and asks for an upfront honorarium to work on the edition for six months (October 1949 to March 1950) while living in Heidelberg so that he does not have to teach at the University of Jena and travel back and forth.,Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 15,
1949,8,6,1949-8-6,,,Paul Henry Lang,Otto Gombosi,"""[Guillaume] De Van is dead all right and Carapetyan is out on a limb because his whole enterprise was run by feu M de Van, or rather le Baron de Van d'Alabama. Carapetyan is OK but he needs a reorientation course. I think that our conversation with him will have a salutary effect and I so reported to JAMS."" ""Manfred [Bukofzer] came home via England and had some hot conversations with the musical gentry there. He did not pull his punches. I am glad that he followed me so soon in my footsteps because the Beefeaters will realize now that we mean business.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1949,8,12,1949-8-12,,,Louise Dyer,Armen Carapetyan,"""Can you tell me where to apply to the executors of Mr. [Guillaume] de Van's estate? I loaned to Mr. de Van a very valuable camera which I gave him the money to buy for me in Switzerland and which he was using to photograph MS for the 14th century publication, he was doing for me. By the way Mr. [Jacques] Handschin knows all about this... I want this camera back.""",University of Melbourne,"Editions de l'Oiseau-Lyre, Box 2016.0034 Unit 1",
1949,8,16,1949-8-16,"Via San Leonardo 70, Florence",Italy,Armen Carapetyan,Otto Gombosi,"""You know that I had not before then met either [Paul Henry] Lang or [Manfred] Bukofzer. Yet I felt a certain background to our first meeting of tension and perhaps even far more than tension""… ""You may have meant the [Guillaume] de Van episode. That, to be sure, was an episode. As to Lang, it was evident that he felt there was something very serious to attack"", ""Bukofzer in a later discussion expressed himself much in favor of cultivating [Albert] Smijers and at all events not offending him. Now, I have had quite cordial correspondence with S. and no problem""... ""however, just recently – at the Congress – I heard that S. is at odds with a whole row of Dutch musicologists, including [Joseph] Smits [van Waesberghe]. And I believe Buk. knew that I had dealings with Smits."" Carapetyan does not know what the issues are in Holland, ""I can honestly say that I knew nothing about [Hans Joachim] Moser's political past until what I head from Lang. But at this point – and we are in the year of grace, 1949 – it makes no difference to me whether Moser was or was not a Nazi"", ""And may I point out that I myself belong to a minority that has not been without f[r]ightful persecutions, also at the instigation of the Germans themselves (during the 1st world-war)"", ""Pray tell me, what is so spotless about [Heinrich] Besseler's political past? Yet did not Lang and Bukofzer both plead his case? Did I not hear in America some serious charges, suspicions of various degrees and doubts about so many others, as [Jacques] Handschin,  [Knud] Jeppesen and so many others?"", the title of ""American"" had the blessing of the Cultural Attache at the US Embassy in Rome, it was meant to be organizational, diplomatic, and practical, not ""as representing a national culture.""","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 10",
1949,8,23,1949-8-23,,,Otto Gombosi,Armen Carapetyan,"Manfred Bukofzer and Paul Henry Lang are both critical of AIM for reasons that are as much fiction as truth. ""I completely share your views in the affair [Albert] Smijers and consider Bukofzer's fatherly attitude a little out of place."" Hans Joachim Moser's behavior was ""more foolish than diabolical,"" and Gombosi has always had a good relationship with him. He proposes a screening committee to help Carapetyan.","Harvard University, Eda Kuhn Loeb Music Library","Otto Gombosi Papers, Ms. Coll. 136, Box 12, Correspondence 1947 to 1949",
